Time,Router,Mechanisms,Type,Packets
19,R11,DeepAuC,CacheMisses,766
19,R12,DeepAuC,CacheMisses,759
19,R13,DeepAuC,CacheMisses,759
19,R14,DeepAuC,CacheMisses,766
19,R15,DeepAuC,CacheMisses,766
19,R16,DeepAuC,CacheMisses,766
19,R17,DeepAuC,CacheMisses,760
19,R18,DeepAuC,CacheMisses,760
19,R19,DeepAuC,CacheMisses,759
19,R20,DeepAuC,CacheMisses,760
19,R21,DeepAuC,CacheMisses,759
19,R22,DeepAuC,CacheMisses,759
19,R23,DeepAuC,CacheMisses,759
20,R1,DeepAuC,CacheMisses,644
20,R2,DeepAuC,CacheMisses,642
20,R3,DeepAuC,CacheMisses,642
20,R4,DeepAuC,CacheMisses,642
20,R5,DeepAuC,CacheMisses,644
20,R6,DeepAuC,CacheMisses,643
20,R7,DeepAuC,CacheMisses,644
20,R8,DeepAuC,CacheMisses,643
20,R9,DeepAuC,CacheMisses,643
20,R10,DeepAuC,CacheMisses,643
20,R11,DeepAuC,CacheMisses,642
20,R12,DeepAuC,CacheMisses,643
20,R13,DeepAuC,CacheMisses,643
20,R14,DeepAuC,CacheMisses,642
20,R15,DeepAuC,CacheMisses,642
20,R16,DeepAuC,CacheMisses,642
20,R17,DeepAuC,CacheMisses,644
20,R18,DeepAuC,CacheMisses,644
20,R19,DeepAuC,CacheMisses,643
20,R20,DeepAuC,CacheMisses,644
20,R21,DeepAuC,CacheMisses,643
20,R22,DeepAuC,CacheMisses,643
20,R23,DeepAuC,CacheMisses,643
21,R1,DeepAuC,CacheMisses,680
21,R2,DeepAuC,CacheMisses,681
21,R3,DeepAuC,CacheMisses,681
21,R4,DeepAuC,CacheMisses,681
21,R5,DeepAuC,CacheMisses,680
21,R6,DeepAuC,CacheMisses,680
21,R7,DeepAuC,CacheMisses,680
21,R8,DeepAuC,CacheMisses,680
21,R9,DeepAuC,CacheMisses,680
21,R10,DeepAuC,CacheMisses,680
21,R11,DeepAuC,CacheMisses,681
21,R12,DeepAuC,CacheMisses,680
21,R13,DeepAuC,CacheMisses,680
21,R14,DeepAuC,CacheMisses,681
21,R15,DeepAuC,CacheMisses,681
21,R16,DeepAuC,CacheMisses,681
21,R17,DeepAuC,CacheMisses,680
21,R18,DeepAuC,CacheMisses,680
21,R19,DeepAuC,CacheMisses,680
21,R20,DeepAuC,CacheMisses,680
21,R21,DeepAuC,CacheMisses,680
21,R22,DeepAuC,CacheMisses,680
21,R23,DeepAuC,CacheMisses,680
22,R1,DeepAuC,CacheMisses,670
22,R2,DeepAuC,CacheMisses,671
22,R3,DeepAuC,CacheMisses,671
22,R4,DeepAuC,CacheMisses,671
22,R5,DeepAuC,CacheMisses,670
22,R6,DeepAuC,CacheMisses,664
22,R7,DeepAuC,CacheMisses,670
22,R8,DeepAuC,CacheMisses,664
22,R9,DeepAuC,CacheMisses,664
